Season,Variable,Value
SPRING,Temp_in,23.75505834
SPRING,Salinity,27.7402879
SPRING,Phosphate,0.54
SPRING,Silicate,157.93
SPRING,NN,7.92
SPRING,pH,7.909
SPRING,TA,2161.48229
SPRING,percent_sgd,20.40439276
SPRING,Temp_in,23.53255956
SPRING,Salinity,30.6119226
SPRING,Phosphate,0.36
SPRING,Silicate,92.59
SPRING,NN,3.37
SPRING,pH,7.965
SPRING,TA,2145.827701
SPRING,percent_sgd,11.9625323
SPRING,Temp_in,22.63449814
SPRING,Salinity,28.37007862
SPRING,Phosphate,0.5
SPRING,Silicate,143.6
SPRING,NN,7.29
SPRING,pH,8.023
SPRING,TA,2272.39081
SPRING,percent_sgd,18.55297158
SPRING,Temp_in,24.01982367
SPRING,Salinity,32.82124424
SPRING,Phosphate,0.25
SPRING,Silicate,42.32
SPRING,NN,0.79
SPRING,pH,7.995
SPRING,TA,2219.583262
SPRING,percent_sgd,5.467700258
SPRING,Temp_in,23.26102354
SPRING,Salinity,29.12292683
SPRING,Phosphate,0.5
SPRING,Silicate,126.47
SPRING,NN,7.45
SPRING,pH,8.005
SPRING,TA,2151.825559
SPRING,percent_sgd,16.33979328
SPRING,Temp_in,24.00516582
SPRING,Salinity,34.0201759
SPRING,Phosphate,0.13
SPRING,Silicate,15.04
SPRING,NN,0.46
SPRING,pH,8.019
SPRING,TA,2216.7581
SPRING,percent_sgd,1.943152455
SPRING,Temp_in,23.72550249
SPRING,Salinity,32.20639623
SPRING,Phosphate,0.28
SPRING,Silicate,56.31
SPRING,NN,1.59
SPRING,pH,8.003
SPRING,TA,2220.335875
SPRING,percent_sgd,7.275193798
SPRING,Temp_in,24.08231046
SPRING,Salinity,33.66594609
SPRING,Phosphate,0.15
SPRING,Silicate,23.1
SPRING,NN,0.34
SPRING,pH,7.978
SPRING,TA,2266.862576
SPRING,percent_sgd,2.984496124
SPRING,Temp_in,24.61700769
SPRING,Salinity,32.66478542
SPRING,Phosphate,0.23
SPRING,Silicate,45.88
SPRING,NN,1.91
SPRING,pH,7.972
SPRING,TA,2189.458388
SPRING,percent_sgd,5.927648579
SPRING,Temp_in,23.8898623
SPRING,Salinity,34.34759675
SPRING,Phosphate,0.11
SPRING,Silicate,7.59
SPRING,NN,0.25
SPRING,pH,7.959
SPRING,TA,2240.714341
SPRING,percent_sgd,0.980620155
SPRING,Temp_in,23.87418146
SPRING,Salinity,34.2073991
SPRING,Phosphate,0.11
SPRING,Silicate,10.78
SPRING,NN,0.26
SPRING,pH,7.953
SPRING,TA,2295.977644
SPRING,percent_sgd,1.392764858
SPRING,Temp_in,23.97824596
SPRING,Salinity,34.00567269
SPRING,Phosphate,0.13
SPRING,Silicate,15.37
SPRING,NN,0.36
SPRING,pH,7.924
SPRING,TA,2212.963581
SPRING,percent_sgd,1.985788114
SPRING,Temp_in,24.10860383
SPRING,Salinity,34.57789008
SPRING,Phosphate,0.09
SPRING,Silicate,2.35
SPRING,NN,0.2
SPRING,pH,7.933
SPRING,TA,2277.045233
SPRING,percent_sgd,0.303617571
SPRING,Temp_in,24.06194201
SPRING,Salinity,34.57832957
SPRING,Phosphate,0.09
SPRING,Silicate,2.34
SPRING,NN,0.19
SPRING,pH,7.989
SPRING,TA,2294.263212
SPRING,percent_sgd,0.302325581
SPRING,Temp_in,23.85659446
SPRING,Salinity,34.57085822
SPRING,Phosphate,0.11
SPRING,Silicate,2.51
SPRING,NN,0.16
SPRING,pH,7.957
SPRING,TA,2309.947719
SPRING,percent_sgd,0.324289406
SPRING,Temp_in,23.87478944
SPRING,Salinity,34.47636764
SPRING,Phosphate,0.09
SPRING,Silicate,4.66
SPRING,NN,0.19
SPRING,pH,7.925
SPRING,TA,2268.419106
SPRING,percent_sgd,0.602067183
SPRING,Temp_in,24.51562606
SPRING,Salinity,34.59942514
SPRING,Phosphate,0.12
SPRING,Silicate,1.86
SPRING,NN,0.26
SPRING,pH,7.997
SPRING,TA,2274.630462
SPRING,percent_sgd,0.240310078
SPRING,Temp_in,24.56946139
SPRING,Salinity,34.581406
SPRING,Phosphate,0.11
SPRING,Silicate,2.27
SPRING,NN,0.2
SPRING,pH,7.986
SPRING,TA,2221.496044
SPRING,percent_sgd,0.293281654
SPRING,Temp_in,24.77369034
SPRING,Salinity,34.60733598
SPRING,Phosphate,0.12
SPRING,Silicate,1.68
SPRING,NN,0.13
SPRING,pH,7.996
SPRING,TA,2263.358534
SPRING,percent_sgd,0.217054264
SPRING,Temp_in,24.97791928
SPRING,Salinity,34.59854616
SPRING,Phosphate,0.12
SPRING,Silicate,1.88
SPRING,NN,0.18
SPRING,pH,7.963
SPRING,TA,2278.298318
SPRING,percent_sgd,0.242894057
SPRING,Salinity,24.83173596
SPRING,Phosphate,1.33
SPRING,Silicate,224.11
SPRING,NN,27.65
SPRING,pH,8.463
SPRING,TA,1862.585914
SPRING,percent_sgd,28.95478036
SPRING,Temp_in,24.43115441
SPRING,Salinity,34.60953343
SPRING,Phosphate,0.12
SPRING,Silicate,1.63
SPRING,NN,0.13
SPRING,pH,7.975
SPRING,TA,2274.315854
SPRING,percent_sgd,0.210594315
SPRING,Temp_in,24.43115441
SPRING,Salinity,34.59459074
SPRING,Phosphate,0.21
SPRING,Silicate,1.97
SPRING,NN,0.2
SPRING,pH,7.933
SPRING,TA,2294.499484
SPRING,percent_sgd,0.254521964
SPRING,pH,8.348
SPRING,TA,2252.358899
SPRING,Temp_in,25.39966468
SPRING,Salinity,34.48867339
SPRING,Phosphate,0.11
SPRING,Silicate,4.38
SPRING,NN,0.28
SPRING,pH,8.094
SPRING,TA,2244.213993
SPRING,percent_sgd,0.565891473
SPRING,Temp_in,25.20243729
SPRING,Salinity,34.49658423
SPRING,Phosphate,0.1
SPRING,Silicate,4.2
SPRING,NN,0.21
SPRING,pH,8.098
SPRING,TA,2264.306252
SPRING,percent_sgd,0.542635659
SPRING,Temp_in,25.33238243
SPRING,Salinity,34.42582616
SPRING,Phosphate,0.12
SPRING,Silicate,5.81
SPRING,NN,0.23
SPRING,pH,8.079
SPRING,TA,2336.320198
SPRING,percent_sgd,0.750645995
SPRING,Temp_in,25.88280725
SPRING,Salinity,34.48076255
SPRING,Phosphate,0.12
SPRING,Silicate,4.56
SPRING,NN,0.24
SPRING,pH,8.063
SPRING,TA,2269.134251
SPRING,percent_sgd,0.589147287
SPRING,Temp_in,25.21517828
SPRING,Salinity,34.54141232
